command,dn,member
insert,"CN=G_DI_PROJETS_Internet_M,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=a1.c01,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Managed Availability Servers,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=at1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=re1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=a1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=a3.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ma1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ma2.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=a2.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_MSTSC,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=aa1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=PiloteEV,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Restriction_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
